dept,insee,cp,nom,priorite
"25","25560","25220",Thise,"5"
"25","25332","25170",Lavernay,"7"
"25","25265","25870",Geneuille,"6"
"25","25119","25170",Champvans-les-Moulins,"7"
"25","25186","25870",Cussey-sur-l'Ognon,"6"
"25","25030","25170",Audeux,"7"
"25","25086","25640",Braillans,"7"
"25","25153","25870",Chevroz,"7"
"25","25200","25870",Devecey,"6"
"25","25557","25870",Tallenay,"7"
"25","25376","25870",M̩rey-Vieilley,"7"
"25","25383","25170",Moncley,"7"
"25","25133","25870",Ch̢tillon-le-Duc,"4"
"25","25622","25170",Villers-Buzon,"7"
"25","25136","25170",Chaucenne,"7"
"25","25217","25170",Emagny,"7"
"25","25448","25170",Pelousey,"5"
"25","25536","25170",Sauvagney,"7"
"25","25115","25170",Champagney,"7"
"25","25455","25170",Placey,"7"
"25","25073","25870",Bonnay,"7"
"25","25427","25170",Noironte,"7"
"25","25371","25170",Mazerolles-le-Salin,"7"
"25","25150","25170",Chevigney-sur-l'Ognon,"7"
"25","25612","25870",Vieilley,"6"
"70","70107","70190",Bussi̬res,"7"
"71","71486","71230",Saint-Vallier,"7"
"71","71477","71230",Saint-Romain-sous-Gourdon,"7"
"25","25482","25170",Recologne,"7"
"25","25035","25870",Les Auxons,"7"
"25","25147","25320",Chemaudin et Vaux,"5"
"97","97422","97430",Le Tampon,"2"
"97","97421","97433",Salazie,"6"
"97","97406","97431",La Plaine-des-Palmistes,"4"
"68","68130","68600",Heiteren,"6"
"68","68290","68740",Rustenhart,"6"
"97","97424","97413",Cilaos,"7"
"97","97403","97414",Entre-Deux,"5"
"89","89390","89140",Serbonnes,"7"
"59","59047","59266",Banteux,"7"
"59","59500","59159",Rib̩court-la-Tour,"7"
"59","59049","59266",Bantouzelle,"6"
"62","62572","62124",Metz-en-Couture,"7"
"62","62830","62147",Trescault,"7"
"2","2495","2500",Mondrepuis,"7"
"2","2558","2170",Le Nouvion-en-Thi̩rache,"7"
"2","2650","2260",Rocquigny,"7"
"59","59659","59212",Wignehies,"7"
"2","2197","2260",Clairfontaine,"7"
"59","59249","59610",Fourmies,"3"
"18","18105","18800",Gron,"7"
"18","18077","18140",Couy,"7"
"18","18251","18140",S̩vry,"7"
"40","40086","40500",Coudures,"7"
"40","40029","40320",Bats,"7"
"40","40016","40700",Aubagnan,"6"
"40","40289","40500",Sarraziet,"7"
"40","40220","40320",P̩corade,"6"
"40","40049","40270",Bord̬res-et-Lamensans,"7"
"40","40321","40320",Urgons,"7"
"40","40072","40320",Castelnau-Tursan,"7"
"40","40099","40500",Fargues,"7"
"40","40022","40320",Bahus-Soubiran,"7"
"40","40196","40500",Montsou̩,"7"
"40","40305","40320",Sorbets,"7"
"40","40082","40320",Classun,"7"
"40","40325","40320",Vielle-Tursan,"7"
